"","Simulation","Agent","Generation","S1","S2","S3","S4","S5","S6","S7","S8","signal"
"1",1,1,1,1,0,0,0,0,0,0,0,1
"2",1,2,1,0,2,0,0,0,0,0,0,2
"3",1,3,1,0,0,3,0,0,0,0,0,3
"4",1,4,1,0,0,0,4,0,0,0,0,4
"5",1,5,1,0,0,0,0,5,0,0,0,5
"6",1,6,1,0,0,0,0,0,6,0,0,6
"7",1,7,1,0,0,0,0,0,0,7,0,7
"8",1,8,1,0,0,0,0,0,0,0,8,8
"9",1,1,2,1,0,0,0,0,0,0,0,1
"10",1,2,2,1,0,0,0,0,0,0,0,1
"11",1,3,2,0,0,3,0,0,0,0,0,3
"12",1,4,2,0,0,3,0,0,0,0,0,3
"13",1,5,2,0,0,0,0,0,6,0,0,6
"14",1,6,2,0,0,0,0,5,0,0,0,5
"15",1,7,2,0,0,0,0,0,0,0,8,8
"16",1,8,2,0,0,0,0,0,0,7,0,7
"17",1,1,3,1,0,0,0,0,0,0,0,1
"18",1,2,3,1,0,0,0,0,0,0,0,1
"19",1,3,3,0,0,0,0,5,0,0,0,5
"20",1,4,3,0,0,0,4,0,0,0,0,4
"21",1,5,3,0,0,0,0,0,6,0,0,6
"22",1,6,3,0,0,3,0,0,0,0,0,3
"23",1,7,3,1,0,0,0,0,0,0,0,1
"24",1,8,3,0,0,0,0,0,0,0,8,8
"25",1,1,4,0,0,3,0,0,0,0,0,3
"26",1,2,4,0,2,0,0,0,0,0,0,2
"27",1,3,4,0,0,3,0,0,0,0,0,3
"28",1,4,4,1,0,0,0,0,0,0,0,1
"29",1,5,4,0,0,0,0,5,0,0,0,5
"30",1,6,4,1,0,0,0,0,0,0,0,1
"31",1,7,4,1,0,0,0,0,0,0,0,1
"32",1,8,4,0,0,0,0,0,6,0,0,6
"33",1,1,5,1,0,0,0,0,0,0,0,1
"34",1,2,5,0,2,0,0,0,0,0,0,2
"35",1,3,5,1,0,0,0,0,0,0,0,1
"36",1,4,5,1,0,0,0,0,0,0,0,1
"37",1,5,5,1,0,0,0,0,0,0,0,1
"38",1,6,5,1,0,0,0,0,0,0,0,1
"39",1,7,5,1,0,0,0,0,0,0,0,1
"40",1,8,5,1,0,0,0,0,0,0,0,1
"41",1,1,6,0,2,0,0,0,0,0,0,2
"42",1,2,6,1,0,0,0,0,0,0,0,1
"43",1,3,6,1,0,0,0,0,0,0,0,1
"44",1,4,6,1,0,0,0,0,0,0,0,1
"45",1,5,6,1,0,0,0,0,0,0,0,1
"46",1,6,6,0,0,3,0,0,0,0,0,3
"47",1,7,6,1,0,0,0,0,0,0,0,1
"48",1,8,6,0,0,0,0,0,0,7,0,7
"49",1,1,7,1,0,0,0,0,0,0,0,1
"50",1,2,7,0,2,0,0,0,0,0,0,2
"51",1,3,7,0,0,3,0,0,0,0,0,3
"52",1,4,7,1,0,0,0,0,0,0,0,1
"53",1,5,7,0,0,0,0,0,6,0,0,6
"54",1,6,7,1,0,0,0,0,0,0,0,1
"55",1,7,7,0,0,3,0,0,0,0,0,3
"56",1,8,7,0,0,0,0,0,0,0,8,8
"57",1,1,8,1,0,0,0,0,0,0,0,1
"58",1,2,8,0,2,0,0,0,0,0,0,2
"59",1,3,8,0,0,3,0,0,0,0,0,3
"60",1,4,8,1,0,0,0,0,0,0,0,1
"61",1,5,8,0,0,0,0,5,0,0,0,5
"62",1,6,8,0,0,0,0,0,0,0,8,8
"63",1,7,8,1,0,0,0,0,0,0,0,1
"64",1,8,8,1,0,0,0,0,0,0,0,1
